id,text,category,subcategory,safety_score,feasibility_score,utility_score,risk_level,tags,dialect
exp_p001,娃娃晚上哭嘛，莫急着抱，轻轻拍拍背，哼个摇篮曲就对了,育儿,睡眠问题,85,92,88,safe,"['哄睡', '0-3岁', '安抚']",川渝
exp_p002,娃儿不爱吃饭，老一辈说喂点山楂水开胃，我家试了有点用。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,70,88,75,caution,"['开胃', '辅食']",川渝
exp_p003,发烧了用温水擦身子，千万莫用酒精，我当年就是不懂差点出事,育儿,病护应对,95,90,92,safe,"['退烧', '护理']",川渝
exp_p004,娃儿咳嗽有痰，用梨子熬水加几颗冰糖，润肺得很。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,病护应对,80,95,85,caution,"['咳嗽', '食疗']",川渝
exp_p005,教娃儿背诗要配上动作，比如“鹅鹅鹅”就学鹅伸脖子，娃儿记得快,育儿,知识启蒙,95,98,92,safe,"['早教', '古诗']",普通话+动作
exp_p006,娃儿不睡午觉，就带他出去耍一圈，累了自然就睡了,育儿,睡眠问题,90,96,88,safe,"['作息', '户外活动']",川渝
exp_p007,娃儿拉肚子，蒸苹果吃，连皮蒸，又香又止泻。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,75,90,80,caution,"['腹泻', '食疗']",川渝
exp_p008,娃儿摔跤了莫慌，先观察，能自己爬起来就没事，哄一下就好了,育儿,行为培养,85,95,90,safe,"['安全', '心理安抚']",川渝
exp_p009,娃儿吃饭坐不住，搞个定时器，响铃前吃完有奖励，比追着喂强,育儿,行为培养,90,85,92,safe,"['习惯养成', '奖励机制']",普通话
exp_p010,娃儿怕打针，提前说“像蚊子叮一下”，打完夸勇敢，下次就不哭了,育儿,病护应对,95,98,94,safe,"['心理建设', '就医']",普通话
exp_p011,娃儿磨牙，老一辈说是肚子里有虫，现在医生说是牙齿咬合问题，得看牙医,育儿,健康问题,80,70,85,caution,"['磨牙', '就医建议']",川渝
exp_p012,娃儿便秘，多吃红薯、火龙果，比开塞露好,育儿,饮食健康,90,95,92,safe,"['便秘', '膳食纤维']",普通话
exp_p013,娃儿早上赖床，放他喜欢的儿歌，笑着就醒了,育儿,行为培养,100,98,90,safe,"['起床气', '习惯']",普通话
exp_p014,娃儿抢玩具，教他说“轮流玩”，数到十换人，很管用,育儿,行为培养,95,92,94,safe,"['社交', '分享']",普通话
exp_p015,娃儿流鼻血，头要低下捏鼻子，莫仰头，血会流到喉咙,育儿,病护应对,98,96,95,safe,"['急救', '止血']",普通话
exp_p016,娃儿不爱刷牙，买水果味牙膏，大人陪着刷，比赛谁泡泡多,育儿,行为培养,95,98,92,safe,"['口腔卫生', '习惯']",普通话
exp_p017,娃儿湿疹，用金银花煮水洗澡，凉凉的止痒。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,病护应对,75,90,80,caution,"['湿疹', '中药洗浴']",川渝
exp_p018,娃儿怕黑，留个小夜灯，告诉他“妈妈就在外面”，慢慢就不怕了,育儿,睡眠问题,95,98,90,safe,"['安全感', '睡眠环境']",普通话
exp_p019,娃儿被蚊虫叮了，用肥皂水洗洗，止痒快,育儿,病护应对,90,95,88,safe,"['蚊虫', '护理']",普通话
exp_p020,娃儿学走路，扶着沙发走，莫用学步车，容易O型腿,育儿,行为培养,85,80,90,caution,"['学步', '安全']",川渝
exp_p021,娃儿说话晚，多跟他摆龙门阵，看到啥说啥，慢慢就开口了,育儿,知识启蒙,95,98,92,safe,"['语言发育', '互动']",川渝
exp_p022,娃儿吐奶，喂完竖起来拍嗝，空心掌从下往上拍,育儿,饮食健康,95,98,94,safe,"['喂养', '拍嗝']",普通话
exp_p023,娃儿积食，顺时针揉肚子，少吃点，饿两顿就好了。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,70,90,75,caution,"['消化不良', '推拿']",川渝
exp_p024,娃儿怕理发，趁他睡着了悄悄剪，或者拿手机放动画片吸引,育儿,行为培养,85,95,88,safe,"['日常护理', '技巧']",普通话
exp_p025,娃儿不爱喝白水，放片柠檬或水果，有点味就喝了,育儿,饮食健康,95,98,90,safe,"['饮水', '习惯']",普通话
exp_p026,娃儿认生，多带出去见人，从打招呼开始，莫强迫叫人,育儿,行为培养,95,96,92,safe,"['社交', '性格']",普通话
exp_p027,娃儿发烧手脚冰凉，说明体温还要升，要保暖；手脚热了就开始降温,育儿,病护应对,90,85,88,safe,"['发热护理', '观察']",普通话
exp_p028,娃儿吃手，莫强行扯，给他玩具转移注意力，大点自然就不吃了,育儿,行为培养,95,92,88,safe,"['习惯', '口腔期']",普通话
exp_p029,娃儿断奶，先断白天再断晚上，妈妈涂点苦瓜汁在乳头。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,70,80,75,caution,"['断奶', '方法']",川渝
exp_p030,娃儿不肯坐安全座椅，先在屋里让他当椅子玩，习惯了再上车,育儿,行为培养,95,90,92,safe,"['安全', '习惯']",普通话
exp_p031,娃儿长牙流口水，下巴抹点凡士林，不然要红,育儿,病护应对,95,98,90,safe,"['出牙', '护理']",普通话
exp_p032,娃儿打嗝，喂几口温水或者吓一下，但吓不好，还是喂水稳当。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,饮食健康,80,95,85,caution,"['打嗝', '方法']",川渝
exp_p033,娃儿爱发脾气，抱起来拍拍，等他哭完再说，莫讲道理,育儿,行为培养,95,98,92,safe,"['情绪管理', '安抚']",普通话
exp_p034,娃儿看电视没完，定个闹钟，响就关，哭两次就习惯了,育儿,行为培养,95,96,92,safe,"['屏幕时间', '规则']",普通话
exp_p035,娃儿怕洗澡，盆里放几个玩具，边洗边玩，就不怕了,育儿,行为培养,95,98,90,safe,"['洗澡', '趣味']",普通话
exp_p036,娃儿红屁股，用香油涂，比护臀膏还管用。这类方法最多作为辅助手段，不能替代规范喂养/护理；若症状持续、加重或出现高热、精神差、呼吸困难、脱水等情况应及时就医,育儿,病护应对,70,95,80,caution,"['尿布疹', '偏方']",川渝
exp_p037,娃儿出门非要抱，跟他比赛谁先跑到前面那棵树，就自己走了,育儿,行为培养,95,92,90,safe,"['外出', '游戏']",普通话
exp_p038,娃儿晚上踢被子，用睡袋，怎么翻都盖着,育儿,睡眠问题,95,98,94,safe,"['睡眠', '用品']",普通话
exp_p039,娃儿学数数，上下楼梯时数台阶，不知不觉就会了,育儿,知识启蒙,95,98,92,safe,"['数学启蒙', '生活教学']",普通话
exp_p040,娃儿不肯吃药，用滴管从嘴角挤进去，莫从舌头倒，会吐,育儿,病护应对,90,95,88,safe,"['喂药', '技巧']",普通话
exp_p041,娃儿怕打雷，抱着他说“天公公打鼓呢”，就不怕了,育儿,行为培养,95,98,90,safe,"['心理安抚', '自然现象']",普通话
exp_p042,娃儿挑食，把菜切碎混进肉丸子或饺子馅，不知不觉就吃了,育儿,饮食健康,95,98,92,safe,"['挑食', '烹饪技巧']",普通话
exp_p043,娃儿摔倒擦破皮，用生理盐水洗，碘伏消毒，莫用酒精疼得很,育儿,病护应对,95,96,92,safe,"['外伤处理', '消毒']",川渝
exp_p044,娃儿学颜色，吃水果时说“红色的苹果”“黄色的香蕉”，自然就记住了,育儿,知识启蒙,95,98,90,safe,"['认知', '生活教学']",普通话
exp_p045,娃儿不穿鞋，地板凉，铺个爬行垫，让他光脚走，刺激脚底,育儿,行为培养,90,95,85,safe,"['习惯', '感统']",普通话
exp_p046,娃儿胆小，多鼓励，做成了就夸，做不成说“下次就好了”,育儿,行为培养,95,98,94,safe,"['性格', '自信心']",普通话
exp_p047,娃儿鼻塞，用热毛巾敷鼻子，或者洗个热水澡，通气快,育儿,病护应对,90,95,88,safe,"['感冒', '护理']",普通话
exp_p048,娃儿把玩具到处扔，专门准备个箱子，告诉他“玩具回家啦”,育儿,行为培养,95,98,92,safe,"['收纳', '习惯']",普通话
exp_p049,娃儿出门不肯戴口罩，让他给毛绒玩具先戴，他就愿意了,育儿,行为培养,95,96,90,safe,"['健康防护', '模仿']",普通话
exp_p050,娃儿不肯午睡，拉窗帘放轻音乐，陪他躺着装睡，他就跟着睡了,育儿,睡眠问题,95,98,92,safe,"['午睡', '环境']",普通话
exp_001,老年人每日食盐摄入量不超过5克，预防高血压,老人养生,饮食健康,95,90,92,safe,"['低盐', '高血压', '控盐']",普通话
exp_002,老年人每日饮水1500-1700ml，少量多次饮用,老人养生,日常护理,95,92,90,safe,"['饮水', '补水', '防脱水']",普通话
exp_003,老年人每日烹调油摄入量控制在25-30克,老人养生,饮食健康,90,90,88,safe,"['控油', '脂肪', '心血管']",普通话
exp_004,老年人建议每天摄入全谷物、杂豆占主食1/3以上,老人养生,饮食健康,90,88,89,safe,"['全谷物', '杂粮', '血糖']",普通话
exp_005,老年人每日应摄入300-500克蔬菜，深色蔬菜占一半,老人养生,饮食健康,95,92,90,safe,"['蔬菜', '膳食纤维', '维生素']",普通话
exp_006,老年人每日应摄入200-350克水果，优选低糖分品种,老人养生,饮食健康,90,90,88,safe,"['水果', '低糖', '维生素']",普通话
exp_007,老年人建议每天摄入优质蛋白质，如鱼、蛋、瘦肉、豆制品,老人养生,营养补充,95,92,93,safe,"['蛋白质', '肌肉', '免疫力']",普通话
exp_008,老年人每日钙摄入量建议1000-1200mg，预防骨质疏松,老人养生,营养补充,95,90,94,safe,"['补钙', '骨质疏松', '骨骼']",普通话
exp_009,老年人应多晒太阳，每日15-20分钟，促进维生素D合成,老人养生,日常养生,90,95,90,safe,"['晒太阳', '维生素D', '钙吸收']",普通话
exp_010,老年人建议每周至少150分钟中等强度有氧运动,老人养生,运动养生,90,85,92,safe,"['运动', '有氧', '心肺']",普通话
exp_011,老年人运动以微微出汗、心率不超过170-年龄为宜,老人养生,运动养生,90,90,89,safe,"['运动强度', '心率', '安全运动']",普通话
exp_012,老年人每周应做2-3次力量训练，延缓肌肉流失,老人养生,运动养生,85,85,90,safe,"['力量训练', '肌肉衰减', '肌力']",普通话
exp_013,老年人宜选择散步、太极拳、八段锦等温和运动,老人养生,运动养生,95,95,93,safe,"['温和运动', '太极', '防跌倒']",普通话
exp_014,老年人每日睡眠时间建议7-8小时，午睡不超1小时,老人养生,睡眠养生,90,92,88,safe,"['睡眠', '作息', '午睡']",普通话
exp_015,老年人睡前1小时不看手机、电视，提高睡眠质量,老人养生,睡眠养生,90,90,87,safe,"['睡前习惯', '少屏幕', '助眠']",普通话
exp_016,老年人起床应遵循“三个半分钟”，防体位性低血压,老人养生,安全防护,98,95,96,safe,"['起床', '防跌倒', '低血压']",普通话
exp_017,老年人居家应清除地面杂物，安装扶手，降低跌倒风险,老人养生,居家安全,100,92,98,safe,"['防跌倒', '居家改造', '安全']",普通话
exp_018,老年人穿防滑鞋，裤脚不宜过长，避免绊倒,老人养生,日常安全,95,95,94,safe,"['防滑鞋', '防跌倒', '着装']",普通话
exp_019,老年人应定期监测血压，高血压者每日至少测1-2次,老人养生,慢病管理,95,95,96,safe,"['血压监测', '高血压', '慢病']",普通话
exp_020,老年人降压目标一般低于140/90mmHg，遵医嘱调整,老人养生,慢病管理,95,90,95,safe,"['血压控制', '降压', '慢病']",普通话
exp_021,老年人应定期监测血糖，糖尿病患者规律监测,老人养生,慢病管理,95,92,94,safe,"['血糖', '糖尿病', '监测']",普通话
exp_022,老年人饮食应少食多餐，避免暴饮暴食，减轻肠胃负担,老人养生,消化健康,90,95,90,safe,"['少食多餐', '肠胃', '消化']",普通话
exp_023,老年人应少吃高糖、高油、高盐加工食品,老人养生,饮食禁忌,95,90,92,safe,"['加工食品', '三高', '健康']",普通话
exp_024,老年人应戒烟限酒，降低心脑血管疾病风险,老人养生,生活习惯,98,85,97,safe,"['戒烟限酒', '心脑血管', '健康']",普通话
exp_025,老年人每日膳食纤维摄入量建议25-30克，预防便秘,老人养生,消化健康,90,88,89,safe,"['膳食纤维', '便秘', '肠道']",普通话
exp_026,老年人便秘优先调整饮食与运动，不依赖泻药,老人养生,消化健康,85,90,86,safe,"['便秘', '调理', '泻药慎用']",普通话
exp_027,老年人应保持口腔清洁，每日刷牙2次，定期洁牙,老人养生,口腔健康,90,92,88,safe,"['口腔护理', '刷牙', '牙周病']",普通话
exp_028,老年人应每年至少1次全面体检，早发现慢病,老人养生,健康管理,95,90,96,safe,"['体检', '慢病筛查', '预防']",普通话
exp_029,老年人应定期检查视力、听力，及时矫正干预,老人养生,感官健康,90,90,89,safe,"['视力', '听力', '感官衰退']",普通话
exp_030,老年人用药必须遵医嘱，不自行增减或停药,老人养生,用药安全,100,95,98,high_risk_avoid,"['用药安全', '遵医嘱', '慢病药']",普通话
exp_031,老年人避免多种药物叠加使用，注意药物相互作用,老人养生,用药安全,98,90,95,caution,"['多重用药', '药物相互作用', '安全']",普通话
exp_032,老年人不盲目服用保健品，不替代正规药物,老人养生,营养补充,95,95,94,safe,"['保健品', '不迷信', '用药']",普通话
exp_033,老年人应保持社交活动，降低抑郁与认知衰退风险,老人养生,心理健康,90,92,90,safe,"['社交', '心理健康', '防痴呆']",普通话
exp_034,老年人多进行读书、下棋、手工等活动，锻炼大脑,老人养生,认知健康,90,95,89,safe,"['脑力锻炼', '认知', '防痴呆']",普通话
exp_035,老年人冬季注意保暖，重点护头、颈、足，防心脑血管事件,老人养生,季节养生,95,95,94,safe,"['冬季保暖', '心脑血管', '防寒']",普通话
exp_036,老年人夏季避免高温外出，预防中暑与脱水,老人养生,季节养生,95,95,93,safe,"['夏季养生', '防暑', '降温']",普通话
exp_037,老年人洗澡水温控制在40℃左右，时间不超过20分钟,老人养生,日常护理,95,92,92,safe,"['洗澡', '水温', '安全']",普通话
exp_038,老年人空腹不宜洗澡、不宜剧烈运动，防低血糖晕厥,老人养生,安全防护,95,95,93,safe,"['空腹禁忌', '晕厥', '安全']",普通话
exp_039,老年人应保持大便通畅，避免用力排便诱发心脑血管意外,老人养生,安全防护,98,90,96,safe,"['排便', '心脑血管', '安全']",普通话
exp_040,老年人每日摄入蛋类40-50克，每周不超过7个为宜,老人养生,饮食健康,90,92,88,safe,"['蛋类', '胆固醇', '营养']",普通话
exp_041,老年人建议每周吃2次鱼类，优选深海鱼,老人养生,饮食健康,90,88,90,safe,"['鱼类', 'Omega3', '心血管']",普通话
exp_042,老年人少喝浓茶、咖啡，避免影响睡眠与心脏,老人养生,饮食禁忌,85,90,85,safe,"['浓茶', '咖啡', '睡眠']",普通话
exp_043,老年人应保持心态平和，减少情绪剧烈波动,老人养生,心理健康,90,90,89,safe,"['情绪管理', '心态', '血压']",普通话
exp_044,老年人足部应每日清洁检查，预防糖尿病足,老人养生,足部护理,95,92,94,safe,"['足部护理', '糖尿病足', '预防']",普通话
exp_045,老年人变换体位动作要慢，防头晕跌倒,老人养生,安全防护,95,98,95,safe,"['体位变换', '防跌倒', '安全']",普通话
exp_046,老年人应勤开窗通风，保持室内空气流通,老人养生,居家环境,90,95,88,safe,"['通风', '空气质量', '呼吸道']",普通话
exp_047,老年人雾霾天减少外出，外出佩戴口罩,老人养生,呼吸道健康,95,92,92,safe,"['雾霾', '呼吸道', '防护']",普通话
exp_048,老年人应接种流感疫苗、肺炎疫苗，降低感染风险,老人养生,疾病预防,95,90,96,safe,"['疫苗', '流感', '肺炎']",普通话
exp_049,老年人不提倡清晨剧烈运动，最佳时段上午9-10点,老人养生,运动养生,90,92,91,safe,"['运动时间', '清晨', '安全']",普通话
exp_050,老年人饮食宜温热，少吃生冷寒凉食物,老人养生,饮食健康,85,95,87,safe,"['温热饮食', '肠胃', '脾胃']",普通话
exp_p051,家中药品、清洁剂应放在上锁高处，避免误食；一旦误食或可疑接触应立即联系中毒咨询/就医,育儿,安全防护,100,87,100,safe,"['安全', '防误食', '防溺水', '急救']",川渝
exp_p052,鸡蛋、花生等过敏高风险食物可在可安全进食固体后少量引入并观察，但要避免整颗坚果等噎食风险,育儿,饮食健康,94,80,91,safe,"['过敏', '辅食', '观察', '就医']",川渝
exp_p053,乘车必须使用符合身高体重的儿童安全座椅，且后向安装更能保护颈部，安全性明显高于抱着,育儿,安全防护,100,87,92,safe,"['安全', '防误食', '防溺水', '急救']",川渝
exp_p054,白天小睡不足或过度刺激都会让夜间更难入睡，适当减少睡前屏幕和剧烈活动,育儿,睡眠问题,93,86,91,safe,"['睡眠', '24月', '作息', '安全']",普通话
exp_p055,添加辅食时若出现明显皮疹、呕吐、喘鸣等疑似过敏反应应停止该食物并就医评估，后续在医生指导下再尝试,育儿,饮食健康,97,81,94,safe,"['过敏', '辅食', '观察', '就医']",普通话+动作
exp_p056,儿童咳嗽首先关注呼吸情况，保持室内通风和适宜湿度，避免二手烟；若喘憋、呼吸急促或持续>2周应就医评估,育儿,病护应对,97,77,94,safe,"['咳嗽', '呼吸道', '用药安全', '就医']",普通话+动作
exp_p057,儿童咳嗽首先关注呼吸情况，保持室内通风和适宜湿度，避免二手烟；若喘憋、呼吸急促或持续>2周应就医评估,育儿,病护应对,100,78,87,safe,"['咳嗽', '呼吸道', '用药安全', '就医']",普通话+动作
exp_p058,宝宝睡前固定流程（洗澡-抚触-讲故事-关灯）更容易建立睡眠联想，夜醒时先轻拍安抚再观察是否真的饥饿,育儿,睡眠问题,94,93,97,safe,"['睡眠', '18月', '作息', '安全']",普通话
exp_p059,1岁以内不建议添加盐和糖，避免形成重口味；蜂蜜也不建议给1岁以内婴儿食用以防肉毒风险,育儿,饮食健康,97,88,97,safe,"['喂养', '4月', '辅食', '营养']",普通话+动作
exp_p060,按免疫规划按时接种疫苗可显著降低多种传染病风险；接种后局部红肿或低热多为常见反应，出现高热、持续哭闹或过敏表现应就医,育儿,疫苗保健,94,88,98,safe,"['疫苗', '观察', '不良反应', '就医']",普通话
exp_p061,宝宝睡前固定流程（洗澡-抚触-讲故事-关灯）更容易建立睡眠联想，夜醒时先轻拍安抚再观察是否真的饥饿,育儿,睡眠问题,100,94,90,safe,"['睡眠', '4月', '作息', '安全']",普通话
exp_p062,按免疫规划按时接种疫苗可显著降低多种传染病风险；接种后局部红肿或低热多为常见反应，出现高热、持续哭闹或过敏表现应就医,育儿,疫苗保健,100,83,90,safe,"['疫苗', '观察', '不良反应', '就医']",川渝
exp_p063,儿童咳嗽首先关注呼吸情况，保持室内通风和适宜湿度，避免二手烟；若喘憋、呼吸急促或持续>2周应就医评估,育儿,病护应对,95,87,87,safe,"['咳嗽', '呼吸道', '用药安全', '就医']",川渝
exp_p064,孩子腹泻时最重要的是预防脱水，可按说明使用口服补液盐（ORS），继续母乳/配方奶喂养；出现少尿、嗜睡、血便应就医评估,育儿,病护应对,96,78,96,safe,"['腹泻', '补液', '脱水', '就医']",普通话+动作
exp_p065,饭前便后和外出回家要用流动水和肥皂洗手≥20秒，可显著降低呼吸道与肠道感染传播,育儿,安全防护,99,93,93,safe,"['卫生', '洗手', '预防', '感染']",普通话+动作
exp_p066,家中药品、清洁剂应放在上锁高处，避免误食；一旦误食或可疑接触应立即联系中毒咨询/就医,育儿,安全防护,100,92,90,safe,"['安全', '防误食', '防溺水', '急救']",普通话+动作
exp_p067,孩子发热先用体温计测量，重点保证补液和休息；不建议酒精擦浴。若精神差、持续高热或伴抽搐、呼吸困难应及时就医,育儿,病护应对,95,82,92,safe,"['发热护理', '就医', '安全用药', '10月']",普通话
exp_p068,儿童咳嗽首先关注呼吸情况，保持室内通风和适宜湿度，避免二手烟；若喘憋、呼吸急促或持续>2周应就医评估,育儿,病护应对,100,80,97,safe,"['咳嗽', '呼吸道', '用药安全', '就医']",普通话
exp_p069,宝宝睡前固定流程（洗澡-抚触-讲故事-关灯）更容易建立睡眠联想，夜醒时先轻拍安抚再观察是否真的饥饿,育儿,睡眠问题,94,91,93,safe,"['睡眠', '18月', '作息', '安全']",普通话+动作
exp_p070,坚果、葡萄、香肠段等易噎食物要切碎或避免整颗给孩子吃，进食时保持坐姿并有人看护,育儿,饮食健康,95,91,94,safe,"['喂养', '24月', '辅食', '营养']",川渝
exp_p071,婴儿安全睡眠建议仰卧、硬床垫、床内不放枕头被褥和毛绒玩具，可降低窒息风险,育儿,睡眠问题,96,87,97,safe,"['睡眠', '6月', '作息', '安全']",普通话
exp_p072,婴儿安全睡眠建议仰卧、硬床垫、床内不放枕头被褥和毛绒玩具，可降低窒息风险,育儿,睡眠问题,94,90,91,safe,"['睡眠', '2月', '作息', '安全']",川渝
exp_p073,饭前便后和外出回家要用流动水和肥皂洗手≥20秒，可显著降低呼吸道与肠道感染传播,育儿,安全防护,95,98,93,safe,"['卫生', '洗手', '预防', '感染']",普通话
exp_p074,孩子发脾气时先保证安全并共情情绪，待平静后再讨论规则与替代行为，能减少升级为对抗,育儿,知识启蒙,98,88,87,safe,"['发育', '互动', '习惯', '10月']",普通话
exp_p075,孩子腹泻时最重要的是预防脱水，可按说明使用口服补液盐（ORS），继续母乳/配方奶喂养；出现少尿、嗜睡、血便应就医评估,育儿,病护应对,100,83,93,safe,"['腹泻', '补液', '脱水', '就医']",普通话
exp_p076,2岁以下不建议自行使用止咳镇静类复方感冒药；必要用药应遵医嘱,育儿,病护应对,94,85,88,safe,"['咳嗽', '呼吸道', '用药安全', '就医']",川渝
exp_p077,孩子发脾气时先保证安全并共情情绪，待平静后再讨论规则与替代行为，能减少升级为对抗,育儿,行为培养,91,86,93,safe,"['发育', '互动', '习惯', '48月']",川渝
exp_p078,孩子发热先用体温计测量，重点保证补液和休息；不建议酒精擦浴。若精神差、持续高热或伴抽搐、呼吸困难应及时就医,育儿,病护应对,94,84,89,safe,"['发热护理', '就医', '安全用药', '0月']",川渝
exp_p079,儿童咳嗽首先关注呼吸情况，保持室内通风和适宜湿度，避免二手烟；若喘憋、呼吸急促或持续>2周应就医评估,育儿,病护应对,92,83,95,safe,"['咳嗽', '呼吸道', '用药安全', '就医']",普通话+动作
exp_p080,添加辅食时若出现明显皮疹、呕吐、喘鸣等疑似过敏反应应停止该食物并就医评估，后续在医生指导下再尝试,育儿,饮食健康,94,79,95,safe,"['过敏', '辅食', '观察', '就医']",普通话
exp_p081,孩子腹泻时最重要的是预防脱水，可按说明使用口服补液盐（ORS），继续母乳/配方奶喂养；出现少尿、嗜睡、血便应就医评估,育儿,病护应对,93,82,90,safe,"['腹泻', '补液', '脱水', '就医']",普通话
exp_p082,语言发展训练以高频互动为主：看见什么就描述什么、等孩子回应，再扩展一句话，效果比单纯背词更好,育儿,行为培养,95,86,97,safe,"['发育', '互动', '习惯', '1月']",普通话
exp_p083,乘车必须使用符合身高体重的儿童安全座椅，且后向安装更能保护颈部，安全性明显高于抱着,育儿,安全防护,97,86,98,safe,"['安全', '防误食', '防溺水', '急救']",普通话
exp_p084,宝宝睡前固定流程（洗澡-抚触-讲故事-关灯）更容易建立睡眠联想，夜醒时先轻拍安抚再观察是否真的饥饿,育儿,睡眠问题,96,94,92,safe,"['睡眠', '48月', '作息', '安全']",普通话+动作
exp_p085,家中药品、清洁剂应放在上锁高处，避免误食；一旦误食或可疑接触应立即联系中毒咨询/就医,育儿,安全防护,98,91,93,safe,"['安全', '防误食', '防溺水', '急救']",普通话
exp_p086,2岁以内尽量避免屏幕时间，优先用亲子阅读、户外探索和游戏促进专注与社交发展,育儿,知识启蒙,95,91,92,safe,"['发育', '互动', '习惯', '4月']",普通话
exp_p087,乘车必须使用符合身高体重的儿童安全座椅，且后向安装更能保护颈部，安全性明显高于抱着,育儿,安全防护,100,80,93,safe,"['安全', '防误食', '防溺水', '急救']",川渝
exp_p088,2岁以内尽量避免屏幕时间，优先用亲子阅读、户外探索和游戏促进专注与社交发展,育儿,知识启蒙,94,89,87,safe,"['发育', '互动', '习惯', '10月']",普通话
exp_p089,1岁以内不建议添加盐和糖，避免形成重口味；蜂蜜也不建议给1岁以内婴儿食用以防肉毒风险,育儿,饮食健康,98,86,92,safe,"['喂养', '12月', '辅食', '营养']",普通话
