id,text,intent_type,urgency,help_type,user_role,expected_match
need_001,孩子半夜总醒，是不是缺钙，要不要去医院,育儿咨询,中,建议,家长,睡眠安抚
need_002,孩子一直哭闹，怎么哄都哄不住怎么办,育儿咨询,高,建议,家长,睡眠安抚
need_003,新生儿黄疸多久能退，什么情况要去看,育儿咨询,中,建议,家长,疾病护理
need_004,孩子几个月可以加辅食，最先吃什么,育儿咨询,低,建议,家长,喂养护理
need_005,一岁以内的孩子能不能吃盐和糖,育儿咨询,中,建议,家长,喂养护理
need_006,孩子发烧不到38.5度，需要吃药吗,育儿咨询,高,建议,家长,疾病护理
need_007,孩子经常便秘，拉不出来该怎么调理,育儿咨询,中,建议,家长,喂养护理
need_008,孩子拉肚子很稀，要不要马上就医,育儿咨询,高,建议,家长,疾病护理
need_009,孩子要不要补维生素D，每天补多少,育儿咨询,低,建议,家长,喂养护理
need_010,纯母乳的孩子需要额外喝水吗,育儿咨询,低,建议,家长,喂养护理
need_011,孩子睡觉仰睡还是侧睡更安全,育儿咨询,中,建议,家长,安全防护
need_012,婴儿床里能不能放枕头和玩具,育儿咨询,中,建议,家长,安全防护
need_013,孩子多大可以断夜奶，怎么断比较好,育儿咨询,低,建议,家长,睡眠安抚
need_014,孩子出牙的时候一直哭闹，怎么缓解,育儿咨询,中,建议,家长,发育行为
need_015,孩子长出第一颗牙，需要刷牙吗,育儿咨询,低,建议,家长,发育行为
need_016,两岁以内的孩子可以看手机电视吗,育儿咨询,低,建议,家长,发育行为
need_017,给孩子洗澡水温多少度最合适,育儿咨询,中,建议,家长,喂养护理
need_018,能不能用力摇晃孩子来止哭,育儿咨询,高,警告,家长,安全防护
need_019,孩子穿多还是穿少，怎么判断冷热,育儿咨询,中,建议,家长,喂养护理
need_020,孩子打喷嚏是不是就是感冒了,育儿咨询,低,建议,家长,疾病护理
need_021,新生儿总打嗝是什么原因，怎么处理,育儿咨询,低,建议,家长,喂养护理
need_022,孩子几个月会坐会爬才算正常,育儿咨询,低,建议,家长,发育行为
need_023,一岁以内的孩子能喝纯牛奶吗,育儿咨询,中,建议,家长,喂养护理
need_024,加辅食怎么判断孩子有没有过敏,育儿咨询,中,建议,家长,喂养护理
need_025,孩子湿疹反复不好，平时怎么护理,育儿咨询,中,建议,家长,疾病护理
need_026,孩子多大可以用学步车，安全吗,育儿咨询,中,建议,家长,安全防护
need_027,孩子每天户外活动多长时间合适,育儿咨询,低,建议,家长,发育行为
need_028,孩子挑食不爱吃饭，要强迫他吃吗,育儿咨询,低,建议,家长,发育行为
need_029,孩子咬指甲怎么办，是不是缺什么,育儿咨询,低,建议,家长,发育行为
need_030,五岁孩子还尿床正常吗,育儿咨询,低,建议,家长,发育行为
need_031,孩子的玩具需要经常消毒吗,育儿咨询,低,建议,家长,安全防护
need_032,孩子可以戴银手镯项链吗,育儿咨询,中,警告,家长,安全防护
need_033,孩子发烧抽搐时家长该怎么做,育儿咨询,高,急救,家长,疾病护理
need_034,母乳妈妈需要大补吗，饮食要注意什么,育儿咨询,低,建议,家长,喂养护理
need_035,孩子什么情况必须马上送医院,育儿咨询,高,建议,家长,疾病护理
need_036,孩子说话晚是不是智力有问题,育儿咨询,中,建议,家长,发育行为
need_037,孩子饭前便后需要洗手吗,育儿咨询,低,建议,家长,安全防护
need_038,孩子每天睡多久才算正常,育儿咨询,低,建议,家长,睡眠安抚
need_039,孩子吃手要不要强行制止,育儿咨询,低,建议,家长,发育行为
need_040,孩子房间湿度多少对呼吸道好,育儿咨询,低,建议,家长,喂养护理
need_041,能不能经常捏孩子的脸颊,育儿咨询,低,建议,家长,安全防护
need_042,孩子从床上摔下来要怎么观察,育儿咨询,高,急救,家长,安全防护
need_043,早教班有没有必要上,育儿咨询,低,建议,家长,发育行为
need_044,孩子可以吃蜂蜜吗,育儿咨询,中,警告,家长,喂养护理
need_045,孩子能吃整颗坚果吗,育儿咨询,高,警告,家长,安全防护
need_046,孩子能吃成人感冒药吗,育儿咨询,高,警告,家长,疾病护理
need_047,孩子发烧用什么退烧药比较安全,育儿咨询,高,建议,家长,疾病护理
need_048,孩子指甲多久剪一次合适,育儿咨询,低,建议,家长,喂养护理
need_049,亲子抚触对孩子有什么好处,育儿咨询,低,建议,家长,发育行为
need_050,孩子起床太快头晕怎么办,育儿咨询,中,建议,家长,安全防护
need_051,5岁孩子误吃了少量洗洁精该怎么办,育儿咨询,高,急救,家长,安全防护
need_052,2个月孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_053,4个月孩子孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,睡眠安抚
need_054,8个月孩子孩子摔下床后该观察哪些危险信号,育儿咨询,高,急救,家长,安全防护
need_055,新生儿孩子打疫苗后红肿发热怎么办,育儿咨询,低,警告,家长,疫苗保健
need_056,2岁孩子发烧到38.5度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_057,2岁孩子发烧到39.2度需不需要吃退烧药,育儿咨询,高,建议,家长,疾病护理
need_058,4个月孩子误吃了少量洗洁精该怎么办,育儿咨询,高,建议,家长,安全防护
need_059,4个月孩子拉肚子很稀要怎么预防脱水,育儿咨询,中,建议,家长,疾病护理
need_060,3岁孩子打疫苗后红肿发热怎么办,育儿咨询,低,警告,家长,疫苗保健
need_061,1岁孩子孩子摔下床后该观察哪些危险信号,育儿咨询,高,急救,家长,安全防护
need_062,2个月孩子打疫苗后红肿发热怎么办,育儿咨询,低,建议,家长,发育行为
need_063,1岁孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疾病护理
need_064,6个月孩子孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_065,新生儿孩子打疫苗后红肿发热怎么办,育儿咨询,中,急救,家长,安全防护
need_066,2岁孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,中,建议,家长,疾病护理
need_067,新生儿孩子误吃了少量洗洁精该怎么办,育儿咨询,高,建议,家长,安全防护
need_068,2岁孩子误吃了少量洗洁精该怎么办,育儿咨询,高,建议,家长,安全防护
need_069,新生儿孩子孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_070,4个月孩子孩子摔下床后该观察哪些危险信号,育儿咨询,高,建议,家长,安全防护
need_071,6个月孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疫苗保健
need_072,2岁孩子发烧到37.8度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_073,6个月孩子发烧到38.5度需不需要吃退烧药,育儿咨询,高,建议,家长,疾病护理
need_074,1岁孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,建议,家长,疫苗保健
need_075,8个月孩子误吃了少量洗洁精该怎么办,育儿咨询,高,建议,家长,安全防护
need_076,5岁孩子孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,睡眠安抚
need_077,3岁孩子孩子摔下床后该观察哪些危险信号,育儿咨询,高,急救,家长,安全防护
need_078,4个月孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_079,1岁孩子拉肚子很稀要怎么预防脱水,育儿咨询,中,建议,家长,疾病护理
need_080,8个月孩子夜里频繁夜醒怎么调整作息,育儿咨询,中,建议,家长,疫苗保健
need_081,6个月孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,疫苗保健
need_082,8个月孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,警告,家长,喂养护理
need_083,6个月孩子孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_084,2个月孩子发烧到38.5度需不需要吃退烧药,育儿咨询,高,建议,家长,疾病护理
need_085,新生儿孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_086,6个月孩子添加辅食后出现皮疹是不是过敏,育儿咨询,中,建议,家长,安全防护
need_087,4个月孩子孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,警告,家长,疾病护理
need_088,2个月孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,发育行为
need_089,新生儿孩子误吃了少量洗洁精该怎么办,育儿咨询,高,警告,家长,安全防护
need_090,2岁孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疾病护理
need_091,6个月孩子打疫苗后红肿发热怎么办,育儿咨询,低,急救,家长,安全防护
need_092,1岁孩子拉肚子很稀要怎么预防脱水,育儿咨询,中,建议,家长,疫苗保健
need_093,6个月孩子发烧到37.8度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_094,3岁孩子孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_095,4个月孩子孩子摔下床后该观察哪些危险信号,育儿咨询,高,建议,家长,安全防护
need_096,4个月孩子孩子摔下床后该观察哪些危险信号,育儿咨询,高,建议,家长,安全防护
need_097,8个月孩子孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_098,2个月孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,急救,家长,安全防护
need_099,2个月孩子发烧到39.2度需不需要吃退烧药,育儿咨询,高,建议,家长,疾病护理
need_100,8个月孩子发烧到38.5度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_101,10个月的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_102,3岁的孩子摔下床后该观察哪些危险信号,育儿咨询,高,建议,家长,安全防护
need_103,3岁的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,急救,家长,安全防护
need_104,2岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_105,2岁的孩子发烧到38.5度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_106,5岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_107,新生儿的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,急救,家长,安全防护
need_108,1岁的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_109,2岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_110,2岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,低,建议,家长,发育行为
need_111,新生儿的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,中,建议,家长,喂养护理
need_112,8个月的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_113,5岁的孩子摔下床后该观察哪些危险信号,育儿咨询,高,急救,家长,安全防护
need_114,2岁的孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_115,新生儿的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_116,1岁的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,急救,家长,安全防护
need_117,4个月的孩子拉肚子很稀要怎么预防脱水,育儿咨询,中,建议,家长,疾病护理
need_118,5岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_119,5岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_120,1岁的孩子摔下床后该观察哪些危险信号,育儿咨询,高,建议,家长,安全防护
need_121,1岁的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_122,10个月的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,建议,家长,安全防护
need_123,4个月的孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_124,6个月的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,急救,家长,安全防护
need_125,8个月的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,中,建议,家长,喂养护理
need_126,新生儿的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_127,8个月的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_128,10个月的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,中,建议,家长,疾病护理
need_129,6个月的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_130,1岁的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_131,2岁的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_132,6个月的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_133,3岁的孩子发烧到39.2度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_134,2岁的孩子发烧到37.8度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_135,6个月的孩子发烧到37.8度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_136,1岁的孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_137,3岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_138,10个月的孩子夜里频繁夜醒怎么调整作息,育儿咨询,中,建议,家长,睡眠安抚
need_139,新生儿的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_140,5岁的孩子发烧到37.8度需不需要吃退烧药,育儿咨询,高,建议,家长,疾病护理
need_141,8个月的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疾病护理
need_142,8个月的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_143,6个月的孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_144,1岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,低,建议,家长,发育行为
need_145,1岁的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_146,1岁的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,建议,家长,安全防护
need_147,5岁的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疾病护理
need_148,4个月的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疾病护理
need_149,10个月的孩子夜里频繁夜醒怎么调整作息,育儿咨询,中,建议,家长,睡眠安抚
need_150,1岁的孩子摔下床后该观察哪些危险信号,育儿咨询,高,急救,家长,安全防护
need_151,新生儿的孩子拉肚子很稀要怎么预防脱水,育儿咨询,中,建议,家长,疾病护理
need_152,6个月的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,中,建议,家长,喂养护理
need_153,1岁的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,中,建议,家长,喂养护理
need_154,6个月的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_155,1岁的孩子发烧到38.5度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_156,2岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_157,4个月的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,急救,家长,安全防护
need_158,6个月的孩子发烧到39.2度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_159,新生儿的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_160,2岁的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_161,4个月的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,建议,家长,安全防护
need_162,3岁的孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_163,5岁的孩子发烧到38.5度需不需要吃退烧药,育儿咨询,高,建议,家长,疾病护理
need_164,4个月的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,急救,家长,安全防护
need_165,6个月的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,建议,家长,安全防护
need_166,6个月的孩子拉肚子很稀要怎么预防脱水,育儿咨询,中,建议,家长,疾病护理
need_167,4个月的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_168,2个月的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疾病护理
need_169,6个月的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_170,5岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,低,建议,家长,发育行为
need_171,3岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,低,建议,家长,发育行为
need_172,10个月的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,中,建议,家长,喂养护理
need_173,3岁的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,警告,家长,安全防护
need_174,2岁的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疾病护理
need_175,新生儿的孩子摔下床后该观察哪些危险信号,育儿咨询,高,建议,家长,安全防护
need_176,2岁的孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_177,新生儿的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_178,6个月的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_179,4个月的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,建议,家长,安全防护
need_180,2岁的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,急救,家长,安全防护
need_181,3岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,低,建议,家长,发育行为
need_182,1岁的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,中,建议,家长,喂养护理
need_183,3岁的孩子摔下床后该观察哪些危险信号,育儿咨询,高,建议,家长,安全防护
need_184,2岁的孩子夜里频繁夜醒怎么调整作息,育儿咨询,中,建议,家长,睡眠安抚
need_185,2岁的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,警告,家长,安全防护
need_186,6个月的孩子夜里频繁夜醒怎么调整作息,育儿咨询,中,建议,家长,睡眠安抚
need_187,2个月的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_188,新生儿的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_189,10个月的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_190,2岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_191,2岁的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,建议,家长,安全防护
need_192,3岁的孩子摔下床后该观察哪些危险信号,育儿咨询,高,急救,家长,安全防护
need_193,10个月的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_194,1岁的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_195,4个月的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,中,建议,家长,疾病护理
need_196,3岁的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,中,建议,家长,疾病护理
need_197,3岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_198,新生儿的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,建议,家长,安全防护
need_199,1岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,低,建议,家长,发育行为
need_200,4个月的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,警告,家长,安全防护
need_201,4个月的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,警告,家长,安全防护
need_202,8个月的孩子夜里频繁夜醒怎么调整作息,育儿咨询,中,建议,家长,睡眠安抚
need_203,2岁的孩子拉肚子很稀要怎么预防脱水,育儿咨询,中,建议,家长,疾病护理
need_204,10个月的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,建议,家长,安全防护
need_205,3岁的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,急救,家长,安全防护
need_206,4个月的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_207,新生儿的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_208,新生儿的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疾病护理
need_209,2岁的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_210,1岁的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,急救,家长,安全防护
need_211,10个月的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,警告,家长,安全防护
need_212,新生儿的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_213,4个月的孩子摔下床后该观察哪些危险信号,育儿咨询,高,急救,家长,安全防护
need_214,3岁的孩子发烧到39.2度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_215,6个月的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_216,1岁的孩子发烧到37.8度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_217,新生儿的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_218,2个月的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,警告,家长,安全防护
need_219,1岁的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,中,建议,家长,喂养护理
need_220,2个月的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_221,2岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,低,建议,家长,发育行为
need_222,4个月的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_223,2个月的孩子拉肚子很稀要怎么预防脱水,育儿咨询,中,建议,家长,疾病护理
need_224,8个月的孩子添加辅食后出现皮疹是不是过敏,育儿咨询,低,建议,家长,喂养护理
need_225,4个月的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,高,建议,家长,疾病护理
need_226,3岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,中,建议,家长,发育行为
need_227,3岁的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,警告,家长,安全防护
need_228,1岁的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,急救,家长,安全防护
need_229,6个月的孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_230,5岁的孩子总看手机电视怎么控制屏幕时间,育儿咨询,低,建议,家长,发育行为
need_231,10个月的孩子摔下床后该观察哪些危险信号,育儿咨询,高,警告,家长,安全防护
need_232,1岁的孩子发烧到38.5度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_233,6个月的孩子夜里频繁夜醒怎么调整作息,育儿咨询,中,建议,家长,睡眠安抚
need_234,4个月的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_235,8个月的孩子发烧到37.8度需不需要吃退烧药,育儿咨询,高,建议,家长,疾病护理
need_236,新生儿的孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_237,8个月的孩子发烧到39.2度需不需要吃退烧药,育儿咨询,中,建议,家长,疾病护理
need_238,10个月的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,建议,家长,安全防护
need_239,5岁的孩子咳嗽有痰能不能自己吃止咳药,育儿咨询,中,建议,家长,疾病护理
need_240,6个月的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_241,4个月的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_242,2岁的孩子夜里频繁夜醒怎么调整作息,育儿咨询,低,建议,家长,睡眠安抚
need_243,3岁的孩子摔下床后该观察哪些危险信号,育儿咨询,高,急救,家长,安全防护
need_244,2岁的孩子能不能给孩子吃蜂蜜或整颗坚果,育儿咨询,高,警告,家长,安全防护
need_245,4个月的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_246,4个月的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_247,4个月的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_248,4个月的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_249,6个月的孩子打疫苗后红肿发热怎么办,育儿咨询,中,建议,家长,疫苗保健
need_250,8个月的孩子发烧到38.5度需不需要吃退烧药,育儿咨询,高,建议,家长,疾病护理
need_251,1岁的孩子拉肚子很稀要怎么预防脱水,育儿咨询,高,建议,家长,疾病护理
need_252,1岁的孩子误吃了少量洗洁精该怎么办,育儿咨询,高,建议,家长,安全防护
